研究課題名,研究課題名 (英文),研究期間 (年度),研究代表者,研究分担者,キーワード,研究分野,研究種目,研究機関,応募区分,総配分額,総配分額 (直接経費),総配分額 (間接経費),各年度配分額,各年度配分額 (直接経費),各年度配分額 (間接経費),現在までの達成度 (区分コード),現在までの達成度 (区分),理由,研究開始時の研究の概要
非常に柔軟な対象を非接触に安定支持するマグレブシステムの研究,,2022-04-01 – 2025-03-31,"遠藤 文人 福岡工業大学, 工学部, 助教 (10909419)",,磁気浮上 / 非接触把持 / 柔軟鋼板,,若手研究,福岡工業大学,,4550000,3500000,1050000,2022:4160000 2023:260000 2024:130000,2022:3200000 2023:200000 2024:100000,2022:960000 2023:60000 2024:30000,,,,柔軟鋼板製造時の品質向上のため非接触に鋼板を支持する磁気浮上技術が提案されている。しかしながら、厚さが0.1 mm以下の剛性が低い柔軟鋼板では従来の磁気浮上システムを使用した場合、柔軟鋼板のたわみから振動が発生し、落下の原因となる。そのため、柔軟鋼板の磁気浮上では安定した浮上を実現できず、産業界での実用化には至っていない。本研究では従来の柔軟鋼板用磁気浮上システムと異なり、柔軟鋼板自身の自重をたわみの抑制へ活用した磁気浮上システムを提案し、安定した非接触把持を可能とする磁気浮上制御を明らかにする。
総合学習の縦横断的ルーブリック開発－教職課程「総合学習の指導法」の教材化―,,2022-04-01 – 2027-03-31,"白坂 正太 福岡工業大学, 教養力育成センター, 准教授 (10772840)",,総合的な学習の時間,,若手研究,福岡工業大学,,2600000,2000000,600000,2022:1040000 2023:780000 2024:390000 2025:260000 2026:130000,2022:800000 2023:600000 2024:300000 2025:200000 2026:100000,2022:240000 2023:180000 2024:90000 2025:60000 2026:30000,,,,"本研究は、「総合学習」で身に付けるべき能力項目とその能力がどのような工程で向上していくのかを学校段階を縦断する形で明らかにする。加えて、各学校の独自性に左右されない汎用性のあるルーブリックを作成するために、各学校が独自に行う「総合学習」の授業実践を横断的に比較するツールとしても機能するような設計を行う。
また、教職課程における「総合学習の指導法」では、コアカリキュラムに掲げられる3つの授業目標である「総合学習の目標及び内容の考え方」「指導計画の作成の考え方」「指導と評価の考え方」を教授する際の教材としての活用方法も含めて検討を行う。"
競争の確保という観点からみたサプライチェーンセキュリティ法政策と保護対象論の研究,A Study of Legal Policy and Subject Matter of Cyber Supply Chain Security from the Perspective of Competitive Market,2022-04-01 – 2026-03-31,"橘 雄介 福岡工業大学, 社会環境学部, 助教 (40822664)",,情報法 / 情報セキュリティ / サイバー・サプライチェーン・セキュリティ / 米国法 / EU法,,若手研究,福岡工業大学,,4680000,3600000,1080000,2022:1170000 2023:1170000 2024:1170000 2025:1170000,2022:900000 2023:900000 2024:900000 2025:900000,2022:270000 2023:270000 2024:270000 2025:270000,,,,近時、IT製品・サービスのサプライチェーンを介した攻撃やその懸念が生じ、「セキュア」なサプライチェーンの構築に向けた法政策が課題となっている。米国は情報セキュリティ対策の任意性を前提とするアプローチからの転換を図り、他方、EUは製品認証基準の統一による市場形成に焦点を当てている。もっとも、こういった「アクセル」に対しては、営業の自由を制約することなど、「ブレーキ」の問題が生じている。本研究はこのアクセル／ブレーキの調和点を探るためには「セキュア」の意義、すなわち、情報セキュリティ関連法の保護対象に立ち戻る必要があると考え、更にこれを競争の確保の観点から特定することを目指すものである。
スフェロイド形成システムを用いたスフェロイド融合特性の解明とその応用,,2022-04-01 – 2025-03-31,"下戸 健 福岡工業大学, 情報工学部, 准教授 (40412457)",,医用ロボット / 再生医学 / スフェロイド / 細胞構造体,,基盤研究(C),福岡工業大学,一般,4290000,3300000,990000,2022:1690000 2023:1300000 2024:1300000,2022:1300000 2023:1000000 2024:1000000,2022:390000 2023:300000 2024:300000,,,,本研究グループでは，これまでに任意の細胞数でスフェロイドを培養したり，複数の細胞を用いる場合に細胞比率をコントロールしてスフェロイド培養したりできる，再生医療に資するスフェロイド形成自動化システムの開発を行ってきた．一方で，スフェロイド同士が融合する特性は解明されていない．そこで本研究では，血管や心臓の再生医療用3次元細胞構造体を作製するために必要となる細胞凝集塊（スフェロイド）について，これまで開発してきたスフェロイド形成システムを応用して，スフェロイドの融合特性を解明し，細胞構造体の高度化および多様化に繋げる．
自転車利用者の危険感知予測モデルに基づく自転車通行空間の検討,,2022-04-01 – 2025-03-31,"田中 孝典 大分工業高等専門学校, 都市・環境工学科, 教授 (10450149)","徳安 達士 福岡工業大学, 情報工学部, 教授 (50435492)",自転車専用レ－ン,,基盤研究(C),大分工業高等専門学校,一般,3120000,2400000,720000,2022:1040000 2023:1170000 2024:910000,2022:800000 2023:900000 2024:700000,2022:240000 2023:270000 2024:210000,,,,自転車専用レーンの設置条件下における走行環境を模擬できるＶＲシミュレーションの開発により，自転車利用者の心理的観点による自転車専用レーンにおける事故の発生要因の抽出と対策が可能となる．また，高齢者，子ども等の交通弱者を守る交通安全対策に配慮した交通空間の必要性を検討するものである.
気道・肺検体に蓄積されたマイクロプラスチックの呼吸器疾患への影響に関する研究,Research on the effects of microplastics accumulated in airway and lung specimens on respiratory diseases,2022-04-01 – 2026-03-31,"溝口 聡 長崎大学, 病院(医学系), 医員 (20816706)","永淵 修 福岡工業大学, 付置研究所, 研究員 (30383483)
朝重 耕一 長崎大学, 医歯薬学総合研究科(医学系), 助教 (70457547)
永安 武 長崎大学, 医歯薬学総合研究科(医学系), 教授 (80284686)
松本 桂太郎 長崎大学, 医歯薬学総合研究科(医学系), 准教授 (80404268)
松本 理宗 長崎大学, 病院(医学系), 医員 (70934420)",マイクロプラスチック / 気道 / 肺 / 手術検体,,基盤研究(C),長崎大学,一般,4160000,3200000,960000,2022:520000 2023:520000 2024:1690000 2025:1430000,2022:400000 2023:400000 2024:1300000 2025:1100000,2022:120000 2023:120000 2024:390000 2025:330000,,,,海洋プラスチックによる海洋汚染が広がっており、5mm以下のプラスチックはマイクロプラスチック（MP）と呼ばれ、特に生態系への影響が懸念されている。MPの中でも数マイクロメートルほどの小さな断片は空気中へ漂っていることが確認されており、これが気道・肺内に蓄積されて呼吸器疾患の発症と関連も示唆されているが、その研究は進んでいない。本研究では、MPの生体への影響を調べるために、BAL内及び切除肺内にMPが混入しているかどうかを検索し、その疾患発症や症状増悪との関係性を明らかにすることを目的とし、手術検体内のMPの測定およびMPに関する基礎実験を行い、その影響について明らかにする。
数論と力学系との融合による擬似乱数および準乱数生成アルゴリズムの構築とその応用,,2022-04-01 – 2025-03-31,"斉藤 朝輝 公立はこだて未来大学, システム情報科学部, 教授 (60344040)","田村 純一 津田塾大学, 数学・計算機科学研究所, 研究員 (90418905)
安富 真一 東邦大学, 理学部, 教授 (60230231)
村山 立人 公立小松大学, 生産システム科学部, 教授 (80360650)
山口 明宏 福岡工業大学, 情報工学部, 教授 (60281789)",真軌道計算 / 擬似乱数 / 超一様分布列 / カオス / p進数,,基盤研究(C),公立はこだて未来大学,一般,3900000,3000000,900000,2022:1950000 2023:1040000 2024:910000,2022:1500000 2023:800000 2024:700000,2022:450000 2023:240000 2024:210000,,,,擬似乱数および超一様分布列（low-discrepancy sequence; 準乱数とも呼ばれる）は，どちらも確率的シミュレーションの基礎として重要である．これらの列の生成に関しては，力学系を用いることによってある程度性質のよいアルゴリズムを比較的容易に構築することができる．しかし，最終的に広く普及するまでに至るのは，数学的に性能や品質を保証できる数論に基づくアルゴリズムであると言える．本研究では，数論的数の上の力学系を用いることによって，数論的アルゴリズムと力学系的アルゴリズムの良さを兼ね備えた新しい擬似乱数および超一様分布列の生成アルゴリズムの構築を目指す．
車いすテニスを促進するマシンテニスの提案と競技中の安全確保に関する研究,Proposal of Machine Tennis to Promote a Wheelchair Tennis Game and Research on Ensuring Safety During Games,2022-04-01 – 2025-03-31,"松尾 慶太 福岡工業大学, 情報工学部, 教授 (50780219)",,車いすテニス / マシンテニス / 電動車いすテニス / 電動車いすバドミントン,,基盤研究(C),福岡工業大学,一般,4290000,3300000,990000,2022:1950000 2023:1300000 2024:1040000,2022:1500000 2023:1000000 2024:800000,2022:450000 2023:300000 2024:240000,,,,近年車いすテニスは、世界で広く認知されており、競技者人口も増加しその技術向上を促す様々な大会が開催されている。車いすを素早く正確にコントロールするチェアワークが要求されるスポーツであり、高度な技術や強靭な体力が要求される。しかし、腕力のない人が車いすを動かし、球を打つという動作は難しい。本研究では、車いすテニスを促進するため入門しやすい環境が必要と考え、電動で全方位に移動できる電動車いすを利用したマシンテニスを提案する。また、競技中の安全を確保するための研究を行う。
がん遺伝子を介した幹細胞性獲得機構の新たな分子基盤,Molecular analysis of oncogenes in stemness of cells,2022-04-01 – 2025-03-31,"赤木 紀之 福岡工業大学, 工学部, 教授 (70532183)","上田 篤 東海大学, 医学部, 特任助教 (90728560)",多能性幹細胞 / がん遺伝子 / STAT3 / 転写因子,,基盤研究(C),福岡工業大学,一般,4160000,3200000,960000,2022:2080000 2023:1040000 2024:1040000,2022:1600000 2023:800000 2024:800000,2022:480000 2023:240000 2024:240000,,,,本研究では、(1) がん細胞由来の変異活性型STAT3をES細胞に導入することで今まで観察できなかった新しいシグナル伝達経路の活性化による自己複製機構の構築を見出すこと、 および (2)変異活性型STAT3によってES細胞に新たに構築されたこのシグナル伝達経路をがん細胞に導入することで幹細胞性が獲得されることを解明すること、の２つの研究を計画している。これらの研究から、がん細胞がES細胞の持つSTAT3を介したシグナル伝達経路と同様の仕組みを利用して幹細胞性を生み出す機序を解明する。
IoT通信のスケーラビリティと信頼性を飛躍的に向上させた早期土砂災害警報システム,,2022-04-01 – 2025-03-31,"内田 法彦 福岡工業大学, 情報工学部, 教授 (10610298)","柴田 義孝 岩手県立大学, その他部局等, 特命教授 (80129791)
湯瀬 裕昭 静岡県立大学, 経営情報学部, 教授 (30240162)
石田 智行 福岡工業大学, 情報工学部, 教授 (00719148)",早期土砂災害警報システム / 災害情報通信 / IoT / 異常検知 / 無線ネットワーク,,基盤研究(C),福岡工業大学,一般,4160000,3200000,960000,2022:1300000 2023:1300000 2024:1560000,2022:1000000 2023:1000000 2024:1200000,2022:300000 2023:300000 2024:360000,,,,近年、国内の多地点で土砂災害に対する対応が急務となっている。そうした中、簡易的に安価で、IoTセンサーによってリアルタイム監視を行い、住民に早期避難を呼びかける早期土砂災害警報システムが国内外で注目されているが、異常状態の検知精度以外にも、IoTセンサーの接続数、信号の揺らぎや通信エラー等課題も多い。そこで、本研究ではこれまでの研究で、有効性を示してきた拡張MQTT法にIoTセンサネットワークとして接続数や通信性能の向上を実現するとともに、災害時の要救護者の早期発見に有効であったMCMC法を異常状態検知法として導入し、広域性と信頼性を向上させた早期土砂災害警報システムについて研究開発を行う。
